"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_bimod.bpred_addr_rate",0.9609,0.9609,0.9608,0.9608," branch address-prediction rate (i.e., addr-hits/updates)",0.9608,0.9609,9.9999999999989e-05,5.77350269189562e-05,0.577350269189626
"il1.miss_rate",9e-04,9e-04,8e-04,8e-04," miss rate (i.e., misses/ref)",8e-04,9e-04,9.99999999999999e-05,5.77350269189625e-05,0.577350269189626
"dl1.writebacks",10542,10542,10544,10544," total number of writebacks",10542,10544,2,1.15470053837925,0.577350269189626
"ifq_full",0.0516,0.0512,0.8035,0.8035," fraction of time (cycle's) IFQ was full",0.0512,0.8035,0.7523,0.434225168163554,0.577196820634792
"RUU_fcount",160913,365949,6909713,6909713," cumulative RUU full count",160913,6909713,6748800,3838145.57237268,0.568715263805814
"ruu_full",0.006,0.0247,0.5865,0.5865," fraction of time (cycle's) RUU was full",0.006,0.5865,0.5805,0.329841965947331,0.568203214379553
"IFQ_fcount",1381968,758453,9467290,9467290," cumulative IFQ full count",758453,9467290,8708837,4854734.10212248,0.557449186627615
"lsq_full",0.0027,0.0138,0.1021,0.1021," fraction of time (cycle's) LSQ was full",0.0027,0.1021,0.0994,0.0543734846532143,0.547016948221472
"LSQ_fcount",71197,203926,1203233,1203233," cumulative LSQ full count",71197,1203233,1132036,617647.21312217,0.545607395102426
"IFQ_count",30866302,29174585,41933873,41933873," cumulative IFQ occupancy",29174585,41933873,12759288,6912808.29705542,0.541786367472497
"dcache2_power_cc1",274182.5818,274010.0089,272972.4669,272972.4669," total power usage of dcache2_cc1",272972.4669,274182.5818,1210.11489999999,652.656389416004,0.539334231332919
"ifq_latency",1.1926,1.1078,1.5445,1.5445," avg IFQ occupant latency (cycle's)",1.1078,1.5445,0.4367,0.230266519494259,0.527287656272634
"bpred_bimod.addr_hits",3660335,3660323,3660276,3660276," total number of address-predicted hits",3660276,3660335,59,30.9892454463372,0.525241448243004
"avg_icache_power_cc1",2.4121,2.3423,2.1144,2.1144," avg power usage of icache_cc1",2.1144,2.4121,0.2977,0.154380331216987,0.518576859983161
"avg_icache_power_cc2",2.4121,2.3423,2.1144,2.1144," avg power usage of icache_cc2",2.1144,2.4121,0.2977,0.154380331216987,0.518576859983161
"avg_icache_power_cc3",2.4185,2.3557,2.1507,2.1507," avg power usage of icache_cc3",2.1507,2.4185,0.2678,0.138872699500898,0.518568706127326
"bpred_bimod.jr_hits",329080,329065,329020,329020," total number of address-predicted hits for JR's",329020,329080,60,30.9232921921325,0.515388203202208
"bpred_bimod.ras_hits.PP",322794,322779,322734,322734," total number of RAS hits",322734,322794,60,30.9232921921325,0.515388203202208
"dl1.misses",42410,42426,42472,42472," total number of misses",42410,42472,62,31.8538328410674,0.513771497436572
"dl1.replacements",41898,41914,41960,41960," total number of replacements",41898,41960,62,31.8538328410674,0.513771497436572
"mem.ptab_misses",456847,456807,456695,456695," total first level page table misses",456695,456847,152,77.9401479769359,0.51276413142721
"bpred_bimod.retstack_pops",323064,323662,325229,325229," total number of address popped off of ret-addr stack",323064,325229,2165,1104.6504726232,0.510231165183928
"sim_total_branches",3811685,3883855,4040195,4040195," total number of branches executed",3811685,4040195,228510,114937.135100019,0.50298514331985
"sim_total_loads",6547860,6634312,6816022,6816022," total number of loads executed",6547860,6816022,268162,134577.336190014,0.50185088189234
"bpred_bimod.dir_hits",3660838,3660841,3660841,3660841," total number of direction-predicted hits (includes addr-hits)",3660838,3660841,3,1.5,0.5
"bpred_bimod.misses",148617,148614,148614,148614," total number of misses",148614,148617,3,1.5,0.5
"il1.repl_rate",9e-04,8e-04,8e-04,8e-04," replacement rate (i.e., repls/ref)",8e-04,9e-04,9.99999999999999e-05,5e-05,0.5
"ul2.wb_rate",0.032,0.0322,0.0322,0.0322," writeback rate (i.e., wrbks/ref)",0.032,0.0322,0.000199999999999999,9.99999999999994e-05,0.5
"max_rename_access",1,2,4,4," max number accesses of rename unit",1,4,3,1.5,0.5
"max_window_access",10,12,16,16," max number accesses of instruction window",10,16,6,3,0.5
"max_icache_access",1,2,4,4," max number accesses of icache",1,4,3,1.5,0.5
"max_dcache_access",3,4,4,4," max number accesses of dcache",3,4,1,0.5,0.5
"ifq_occupancy",1.1528,1.97,3.5592,3.5592," avg IFQ occupancy (insn's)",1.1528,3.5592,2.4064,1.20070989557567,0.498965215914091
"sim_total_refs",9099658,9238365,9506933,9506933," total number of loads and stores executed",9099658,9506933,407275,203150.811046662,0.498805011470535
"ul2.hits",66369,66392,66435,66435," total number of hits",66369,66435,66,32.8367172537085,0.497526018995584
"sim_total_insn",25880852,26336541,27150992,27150992," total number of instructions executed",25880852,27150992,1270140,629869.336100949,0.495905440424637
"total_rename_access",25880852,26336541,27150992,27150992," total number accesses of rename unit",25880852,27150992,1270140,629869.336100949,0.495905440424637
"mem.ptab_accesses",186479208,188012372,190727832,190727832," total page table accesses",186479208,190727832,4248624,2105541.29344546,0.495581932749395
"total_icache_access",26074060,26672368,27702538,27702538," total number accesses of icache",26074060,27702538,1628478,805416.771700217,0.494582531480448
"il1.hits",26051052,26649205,27679103,27679103," total number of hits",26051052,27679103,1628051,805205.300395444,0.494582356692415
"il1.accesses",26073824,26672004,27701912,27701912," total number of accesses",26073824,27701912,1628088,805221.572033437,0.49458111111527
"itlb.accesses",26073824,26672004,27701912,27701912," total number of accesses",26073824,27701912,1628088,805221.572033437,0.49458111111527
"itlb.hits",26073804,26671984,27701892,27701892," total number of hits",26073804,27701892,1628088,805221.572033437,0.49458111111527
"sim_total_stores",2551798,2604053,2690911,2690911," total number of stores executed",2551798,2690911,139113,68631.9063865342,0.493353650532547
"avg_fetch_power_cc1",3.0535,3.4299,3.4513,3.4513," average power of fetch unit per cycle_cc1",3.0535,3.4513,0.3978,0.195593660428962,0.491688437478536
"alu_power_cc2",33249583.8448,33581851.2966,34105191.1246,34105191.1246," total power usage of alu_cc2",33249583.8448,34105191.1246,855607.279800002,420545.126904882,0.491516536655912
"avg_window_power_cc1",1.8661,1.8403,1.9969,1.97," avg power usage of instruction window_cc1",1.8403,1.9969,0.1566,0.076723936942782,0.489935740375364
"max_regfile_access",6,8,11,11," max number accesses of arch. regfile",6,11,5,2.44948974278318,0.489897948556636
"ul2.writebacks",2426,2438,2439,2439," total number of writebacks",2426,2439,13,6.35085296108588,0.48852715085276
"total_alu_access",25731317,26001601,26372370,26372370," total number accesses of alu",25731317,26372370,641053,312235.306699397,0.487066290461783
"ul2.accesses",75724,75767,75825,75825," total number of accesses",75724,75825,101,49.1418016221085,0.486552491308005
"total_dcache2_access",75724,75767,75825,75825," total number accesses of dcache2",75724,75825,101,49.1418016221085,0.486552491308005
"dcache2_power_cc2",159364.7717,159455.2673,159577.331,159577.331," total power usage of dcache2_cc2",159364.7717,159577.331,212.559299999994,103.421249979438,0.486552458440732
"bpred_bimod.lookups",3834730,3964639,4137659,4137659," total number of bpred lookups",3834730,4137659,302929,147275.294138506,0.486170997621573
"total_resultbus_access",28433746,28692549,29035000,29035000," total number accesses of resultbus",28433746,29035000,601254,292195.298935917,0.485976474062405
"LSQ_count",35727633,43874616,54618725,54618725," cumulative LSQ occupancy",35727633,54618725,18891092,9178742.66223765,0.485876764680287
"total_window_access",107625403,100345697,99530743,99530743," total number accesses of instruction window",99530743,107625403,8094660,3930325.05570328,0.4855454158301
"RUU_count",92518111,122412255,160939115,160939115," cumulative RUU occupancy",92518111,160939115,68421004,33197847.9537805,0.485199661112552
"avg_sim_slip",6.3279,7.7439,9.5548,9.5548," the average slip between issue and retirement",6.3279,9.5548,3.2269,1.56496913814086,0.484976025950868
"sim_slip",162811357,199244758,245835697,245835697," total number of slip cycles",162811357,245835697,83024340,40264651.5435701,0.484974063552569
"lsq_latency",1.3805,1.6659,2.0117,2.0117," avg LSQ occupant latency (cycle's)",1.3805,2.0117,0.6312,0.305155058945448,0.483452248012434
"ruu_latency",3.5748,4.648,5.9276,5.9276," avg RUU occupant latency (cycle's)",3.5748,5.9276,2.3528,1.13643617799974,0.483014356511282
"lsq_power_cc1",4515307.9409,3588875.6796,3453151.3053,3453115.9848," total power usage of lsq_cc1",3453115.9848,4515307.9409,1062191.9561,512474.146233165,0.482468487254218
"ruu_occupancy",3.4553,8.2657,13.6599,13.6599," avg RUU occupancy (insn's)",3.4553,13.6599,10.2046,4.91258975965495,0.48140934085167
"lsq_occupancy",1.3343,2.9626,4.6358,4.6358," avg LSQ occupancy (insn's)",1.3343,4.6358,3.3015,1.5824654253727,0.47931710597386
"bpred_bimod.ras_rate.PP",0.9996,0.9995,0.9994,0.9994," RAS prediction rate (i.e., RAS hits/used RAS)",0.9994,0.9996,0.000200000000000089,9.57427107756813e-05,0.478713553878193
"max_lsq_access",3,4,5,5," max number accesses of load/store queue",3,5,2,0.957427107756338,0.478713553878169
"bpred_bimod.bpred_jr_rate",0.9995,0.9994,0.9993,0.9993," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.9993,0.9995,0.000200000000000089,9.57427107756716e-05,0.478713553878145
"window_power_cc1",49964919.011,27254950.5591,23527786.3522,23209765.1188," total power usage of instruction window_cc1",23209765.1188,49964919.011,26755153.8922,12782994.321484,0.477776893864573
"alu_power_cc3",71137790.3505,53544545.7124,49625695.7796,49625695.7796," total power usage of alu_cc3",49625695.7796,71137790.3505,21512094.5709,10270416.4640581,0.477425219111445
"dcache_power_cc3",38693074.3877,32676751.7163,31290736.6332,31290736.6332," total power usage of dcache_cc3",31290736.6332,38693074.3877,7402337.7545,3531140.30886808,0.477030422817635
"total_lsq_access",9062502,9118579,9168090,9168090," total number accesses of load/store queue",9062502,9168090,105588,50286.6447304849,0.476253406925833
"bpred_power_cc3",19008834.9039,13703144.7698,12369363.4496,12369363.4496," total power usage of bpred unit_cc3",12369363.4496,19008834.9039,6639471.4543,3160609.84890896,0.476033351549696
"dcache2_power_cc3",11402004.3387,6365606.5546,5091397.1925,5091397.1925," total power usage of dcache2_cc3",5091397.1925,11402004.3387,6310607.1462,3003609.58881081,0.475962061846849
"dcache2_power",112700555.1128,62335474.452,49591078.4672,49591078.4672," total power usage of dcache2",49591078.4672,112700555.1128,63109476.6456,30037605.1710834,0.475960295785112
"regfile_power",95654659.0027,52907268.7106,42090455.5104,42090455.5104," total power usage of arch. regfile",42090455.5104,95654659.0027,53564203.4923,25494434.1375561,0.47596029578263
