"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"sim_elapsed_time",21,22,21,21," total simulation time in seconds",21,22,1,0.5,0.5
"sim_inst_rate",1225195.619,1169504.9091,1225195.619,1225195.619," simulation speed (in insts/sec)",1169504.9091,1225195.619,55690.7098999999,27845.3549499999,0.5
"il1.misses",22815,22817,22817,22814," total number of misses",22814,22817,3,1.5,0.5
"il1.replacements",22340,22342,22342,22339," total number of replacements",22339,22342,3,1.5,0.5
"ul2.accesses",75833,75835,75835,75832," total number of accesses",75832,75835,3,1.5,0.5
"total_dcache2_access",75833,75835,75835,75832," total number accesses of dcache2",75832,75835,3,1.5,0.5
"dcache_power_cc1",37449096.2432,37458975.0885,37459026.8102,37458889.8998," total power usage of dcache_cc1",37449096.2432,37459026.8102,9930.56700000167,4934.16770850849,0.496866665167021
"bpred_bimod.retstack_pops",325139,325231,325232,325231," total number of address popped off of ret-addr stack",325139,325232,93,46.1690733428053,0.496441648847369
"lsq_occupancy",4.5559,4.632,4.6288,4.6315," avg LSQ occupancy (insn's)",4.5559,4.632,0.0760999999999994,0.0374597116913623,0.492243254814226
"LSQ_fcount",1408264,1245434,1238285,1236873," cumulative LSQ full count",1236873,1408264,171391,84116.8517044395,0.490789199575471
"lsq_full",0.1094,0.1018,0.1018,0.1023," fraction of time (cycle's) LSQ was full",0.1018,0.1094,0.0076,0.00372413300872386,0.490017501147877
"rename_power_cc1",4098891.3964,4099773.3036,4099787.5144,4099810.9205," total power usage of rename unit_cc1",4098891.3964,4099810.9205,919.524100000039,449.858975433509,0.489230217493473
"dispatch_stage_power_cc1",4098891.3964,4099773.3036,4099787.5144,4099810.9205," total power usage of dispatch stage_cc1",4098891.3964,4099810.9205,919.524100000039,449.858975433509,0.489230217493473
"fetch_stage_power_cc1",40656069.1198,40661293.0979,40661329.2826,40661509.561," total power usage of fetch stage_cc1",40656069.1198,40661509.561,5440.44119999558,2655.78497859046,0.488156177221916
"fetch_stage_power_cc2",33520744.5066,33525891.5916,33525995.6231,33526144.2396," total power usage of fetch stage_cc2",33520744.5066,33526144.2396,5399.73299999908,2635.02949689479,0.487992553871689
"icache_power_cc1",24905421.2743,24910568.3592,24910672.3907,24910821.0073," total power usage of icache_cc1",24905421.2743,24910821.0073,5399.73299999908,2635.02946527874,0.487992548016576
"icache_power_cc2",24905421.2743,24910568.3592,24910672.3907,24910821.0073," total power usage of icache_cc2",24905421.2743,24910821.0073,5399.73299999908,2635.02946527874,0.487992548016576
"ifq_occupancy",3.4898,3.5736,3.5715,3.5692," avg IFQ occupancy (insn's)",3.4898,3.5736,0.0838000000000001,0.0408562010797219,0.487544165629139
"bpred_bimod.lookups",4137581,4137664,4137670,4137668," total number of bpred lookups",4137581,4137670,89,43.23867867238,0.485827850251461
"avg_resultbus_power_cc3",1.0833,1.1067,1.1541,1.1502," avg power usage of resultbus_cc3",1.0833,1.1541,0.0708,0.0343875340785,0.485699633877119
"il1.hits",27679328,27679176,27679191,27679177," total number of hits",27679176,27679328,152,73.6523364644101,0.484554845160592
"sim_total_branches",4040121,4040206,4040212,4040208," total number of branches executed",4040121,4040212,91,43.9042518821735,0.482464306397511
"il1.accesses",27702143,27701993,27702008,27701991," total number of accesses",27701991,27702143,152,73.2273855876338,0.481759115708117
"itlb.accesses",27702143,27701993,27702008,27701991," total number of accesses",27701991,27702143,152,73.2273855876338,0.481759115708117
"itlb.hits",27702123,27701973,27701988,27701971," total number of hits",27701971,27702123,152,73.2273855876338,0.481759115708117
"ruu_occupancy",13.4335,13.7399,13.7281,13.7152," avg RUU occupancy (insn's)",13.4335,13.7399,0.3064,0.147462071394647,0.481273078964252
"avg_resultbus_power_cc2",1.0428,1.0759,1.1245,1.1218," avg power usage of resultbus_cc2",1.0428,1.1245,0.0817000000000001,0.0392508598631928,0.480426681312029
"avg_resultbus_power_cc1",1.5306,1.5788,1.6498,1.6456," avg power usage of resultbus_cc1",1.5306,1.6498,0.1192,0.0572114207712644,0.479961583651547
"avg_total_power_insn",32.1407,30.6771,30.7921,33.1796," average total power per insn",30.6771,33.1796,2.5025,1.19079971832658,0.475844043287345
"total_power",872647012.3873,832914417.3757,836037266.1311,900861036.6987," total power per cycle",832914417.3757,900861036.6987,67946619.323,32331099.9497363,0.475830884183405
"max_cycle_power_cc3",38.0508,38.2123,38.3831,38.3921," maximum cycle power usage of cc3",38.0508,38.3921,0.341299999999997,0.161908644508767,0.474388058918161
"avg_dcache2_power_cc2",7e-04,0.0015,0.0036,0.0218," avg power usage of dcache2_cc2",7e-04,0.0218,0.0211,0.0100083298640016,0.474328429573536
"dcache2_power",2932078.5002,5925695.1173,14196314.4102,83855167.009," total power usage of dcache2",2932078.5002,83855167.009,80923088.5088,38382018.8837148,0.474302446817029
"dcache2_power_cc3",300368.9827,607790.3287,1456325.033,8603535.8343," total power usage of dcache2_cc3",300368.9827,8603535.8343,8303166.8516,3938145.73131246,0.47429442304337
"avg_dcache2_power",0.2278,0.4842,1.1673,6.9361," avg power usage of dcache2",0.2278,6.9361,6.7083,3.17965384331901,0.473988021304803
"avg_issue_power",30.719,30.9754,31.6585,37.4273," average power of issue unit per cycle",30.719,37.4273,6.7083,3.17965384331901,0.473988021304803
"dcache2_power_cc2",8638.5197,18360.8097,44262.9082,262990.2117," total power usage of dcache2_cc2",8638.5197,262990.2117,254351.692,120559.286773517,0.473986572786458
"avg_total_power_cycle",67.8069,68.0633,68.7465,74.5152," average total power per cycle",67.8069,74.5152,6.70829999999999,3.17964297720672,0.473986401503618
"dcache2_power_cc1",14778.8824,31410.5794,75719.428,449866.8278," total power usage of dcache2_cc1",14778.8824,449866.8278,435087.9454,206225.415977655,0.473985588794147
"avg_dcache2_power_cc3",0.0233,0.0497,0.1198,0.7116," avg power usage of dcache2_cc3",0.0233,0.7116,0.6883,0.326218096779849,0.473947547261149
"mem.ptab_accesses",190728338,190728038,190728096,190728042," total page table accesses",190728038,190728338,300,142.148982878293,0.473829942927644
"avg_dcache2_power_cc1",0.0011,0.0026,0.0062,0.0372," avg power usage of dcache2_cc1",0.0011,0.0372,0.0361,0.0170845690609977,0.473256760692457
"ifq_full",0.7932,0.8104,0.8093,0.8083," fraction of time (cycle's) IFQ was full",0.7932,0.8104,0.0172,0.00811213083392191,0.471635513600112
"max_cycle_power_cc2",35.2559,35.4634,35.636,35.6452," maximum cycle power usage of cc2",35.2559,35.6452,0.389300000000006,0.183033100376228,0.470159518048357
"total_icache_access",27702769,27702619,27702635,27702610," total number accesses of icache",27702610,27702769,159,74.5536719417629,0.468891018501653
"avg_regfile_power_cc3",0.7377,0.7536,0.7643,0.7649," avg power usage of arch. regfile_cc3",0.7377,0.7649,0.0272,0.0127238293502127,0.467787843757818
"avg_total_power_insn_cc3",10.6151,10.4104,10.4612,10.6875," average total power per insn_cc3",10.4104,10.6875,0.277100000000001,0.12955237036298,0.467529304810464
"total_power_cycle_cc3",288208925.819,282654611.8957,284032841.21,290176019.5357," total power per cycle_cc3",282654611.8957,290176019.5357,7521407.64000005,3516263.07772861,0.467500665570706
"issue_stage_power_cc2",98083404.4188,97741192.1587,98473669.9856,98535037.0047," total power usage of issue stage_cc2",97741192.1587,98535037.0047,793844.846000001,370120.22300118,0.466237483138083
"avg_clock_power_cc2",7.572,7.8505,7.9141,7.9291," avg power usage of clock_cc2",7.572,7.9291,0.3571,0.166473969436666,0.466183056389432
"avg_clock_power_cc3",8.955,9.185,9.2457,9.2567," avg power usage of clock_cc3",8.955,9.2567,0.3017,0.140646056942004,0.466178511574423
"avg_clock_power_cc1",11.8594,12.2924,12.3936,12.4166," avg power usage of clock_cc1",11.8594,12.4166,0.5572,0.259731682061828,0.466137261417495
"dtlb.accesses",9130360,9130360,9130361,9130352," total number of accesses",9130352,9130361,9,4.19324854180304,0.465916504644782
"dtlb.hits",9130277,9130277,9130278,9130269," total number of hits",9130269,9130278,9,4.19324854180304,0.465916504644782
"avg_regfile_power_cc1",2.4174,2.5244,2.5716,2.5797," avg power usage of arch. regfile_cc1",2.4174,2.5797,0.1623,0.0746767868885639,0.460115754088503
"avg_regfile_power_cc2",0.664,0.6942,0.7068,0.7091," avg power usage of arch. regfile_cc2",0.664,0.7091,0.0450999999999999,0.0207443767480892,0.459964007718166
"dcache_power_cc3",31949317.6005,31563333.7409,31517121.9202,31473894.746," total power usage of dcache_cc3",31473894.746,31949317.6005,475422.854499999,218671.555704948,0.459951711692371
"rename_power_cc3",2965047.9573,2938551.5577,2935369.2521,2932373.986," total power usage of rename unit_cc3",2932373.986,2965047.9573,32673.9712999999,15021.4685663409,0.459738071886628
"dispatch_stage_power_cc3",2965047.9573,2938551.5577,2935369.2521,2932373.986," total power usage of dispatch stage_cc3",2932373.986,2965047.9573,32673.9712999999,15021.4685663409,0.459738071886628
"alu_power_cc3",51681590.3139,50485003.4746,50340960.7964,50205650.4434," total power usage of alu_cc3",50205650.4434,51681590.3139,1475939.8705,678515.620633406,0.459717658012415
"sim_CPI",0.5002,0.4756,0.4727,0.4699," cycles per instruction",0.4699,0.5002,0.0303,0.0139291062168396,0.459706475803287
"avg_total_power_insn_nofp_nod2",25.2634,24.0222,23.8726,23.7322," average total power per insn",23.7322,25.2634,1.5312,0.703897947148591,0.459703466006133
"window_power",28368673.9173,26975015.0088,26807103.1815,26649390.7402," total power usage of instruction window",26649390.7402,28368673.9173,1719283.1771,790349.169639426,0.459696913322067
"lsq_power",12395725.7549,11786764.84,11713395.5677,11644482.9292," total power usage of load/store queue",11644482.9292,12395725.7549,751242.8257,345344.008129299,0.459696913321616
"bpred_power",58210755.0866,55351053.6555,55006509.0256,54682892.9016," total power usage of bpred unit",54682892.9016,58210755.0866,3527862.18499999,1621747.35706018,0.459696913319244
"dcache_power",78310212.3925,74463091.2555,73999579.6056,73564222.8171," total power usage of dcache",73564222.8171,78310212.3925,4745989.57539999,2181716.75843613,0.459696913314912
"falu_power",183791107.5812,174762059.7157,173674215.3969,172652449.4732," total power usage of falu",172652449.4732,183791107.5812,11138658.108,5120406.75071486,0.459696913314655
"sim_cycle",12869584,12237344,12161170,12089623," total simulation time in cycles",12089623,12869584,779961,358545.664205063,0.459696913313696
"clock_power",335863616.1522,319363750.0705,317375801.192,315508605.3193," total power usage of clock",315508605.3193,335863616.1522,20355010.8329,9357135.65034446,0.459696913313376
"alu_power",243765047.8849,231789679.1493,230346854.0543,228991669.7778," total power usage of alu",228991669.7778,243765047.8849,14773378.1071,6791276.31503286,0.459696913312535
"rename_power",5379041.9404,5114787.4411,5082949.3382,5053045.1615," total power usage of rename unit",5053045.1615,5379041.9404,325996.778899999,149859.713010095,0.459696913312339
"dispatch_stage_power",5379041.9404,5114787.4411,5082949.3382,5053045.1615," total power usage of dispatch stage",5053045.1615,5379041.9404,325996.778899999,149859.713010095,0.459696913312339
"fetch_stage_power",90087964.8145,85662241.7412,85129018.5516,84628184.6772," total power usage of fetch stage",84628184.6772,90087964.8145,5459780.1373,2509844.07647845,0.459696913311903
"icache_power",31877209.7279,30311188.0857,30122509.526,29945291.7757," total power usage of icache",29945291.7757,31877209.7279,1931917.9522,888096.71939504,0.459696913310271
"regfile_power",45976229.8443,43717570.082,43445440.592,43189840.9304," total power usage of arch. regfile",43189840.9304,45976229.8443,2786388.9139,1280894.38299577,0.45969691330811
"resultbus_power",29568421.1859,28115822.67,27940809.638,27776427.3369," total power usage of resultbus",27776427.3369,29568421.1859,1791993.849,823774.041051356,0.459696913307516
